NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),ENERGYSTARScore,Latitude,Longitude,BuildingAge,RT_Avenue,RT_Other,RT_Street,RT_Way,PP_K-12 School,PP_Large Office,PP_Mixed Use Property,PP_Non-Refrigerated Warehouse,PP_Other,PP_Retail Store,PP_Small- and Mid-Sized Office,PP_Warehouse,SiteEnergyUse(kBtu),TotalGHGEmissions
1.0,3.0,280252.0,123940.0,52.0,47.64942,-122.35024,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11521702.0,80.32
1.0,1.0,36400.0,36400.0,82.5,47.57587,-122.32789,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1567746.75,46.16
1.0,6.0,706176.0,706176.0,82.0,47.60331,-122.33389,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13270687.0,92.52
1.0,4.0,39760.0,39760.0,92.0,47.61098,-122.32766,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2478960.0,149.91
1.0,14.0,186768.0,162993.0,95.0,47.60668182,-122.33452606,43.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9700372.0,218.49
1.0,1.0,50200.0,50200.0,76.25,47.55030549,-122.3260997,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,989975.0,27.8
1.0,1.0,98480.0,98480.0,65.0,47.56558,-122.32889,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2831565.5,39.5
1.0,29.0,489182.0,489182.0,50.0,47.60831575,-122.33544853,45.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32381836.0,225.75
1.0,5.0,35840.0,35840.0,83.0,47.60961,-122.33566,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1538750.625,48.35
1.0,3.0,117116.0,117116.0,83.0,47.6763,-122.38051,85.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5722325.5,256.31
1.0,6.0,70796.0,70796.0,64.0,47.6015358,-122.33378601,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4385512.0,30.57
1.0,3.0,280252.0,123940.0,52.0,47.64929601,-122.350499,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12196872.0,85.03
1.0,1.0,20000.0,20000.0,30.0,47.60201243,-122.3164416,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,554528.0,24.18
1.0,3.0,28800.0,28800.0,45.25,47.59768096,-122.3242169,107.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5047936.0,208.24
1.0,1.0,27247.0,27247.0,75.25,47.63629,-122.35922,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2332996.5,83.1
1.0,1.0,102133.0,102133.0,74.0,47.56922192,-122.289826,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21069722.0,546.2
1.0,1.0,36000.0,36000.0,60.0,47.56774,-122.33289,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3646053.75,58.79
1.0,2.0,26930.0,20580.0,64.0,47.70007,-122.32533,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1002995.0,6.99
1.0,2.0,61929.0,61929.0,55.0,47.63167638,-122.3756112,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2150536.0,49.26
1.0,6.0,303103.0,193198.0,97.0,47.62131,-122.33814,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7519466.5,69.59
1.0,15.0,388934.0,388934.0,84.0,47.60349737,-122.33226722,93.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20309614.0,208.81
2.0,2.0,111445.0,111445.0,85.5,47.66838,-122.3931,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5697472.5,163.83
1.0,1.0,31569.0,31569.0,13.0,47.562484,-122.328857,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2708863.0,109.11
1.0,2.0,47602.0,47602.0,85.0,47.68667488,-122.34216282,85.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004995.0,72.02
1.0,13.0,372242.0,319539.0,98.0,47.60213517,-122.32847035,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15083332.0,234.15
1.0,5.0,390295.0,268920.0,95.0,47.55172357,-122.32697144,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7838600.0,54.65
1.0,2.0,42975.0,42975.0,92.0,47.51698,-122.35946,92.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959352.0,42.96
1.0,4.0,63540.0,63540.0,57.0,47.60978885,-122.3388932,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3999310.0,72.9
1.0,1.0,20050.0,20050.0,88.5,47.60775,-122.30225,22.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1813404.0,60.81
1.0,2.0,50319.0,50319.0,61.0,47.614465,-122.32174,103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2391687.0,31.42
1.0,1.0,21603.0,21603.0,16.0,47.57894,-122.31287,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5833800.0,129.89
